"Bread;Milk;Butter;Jam;Nutella;Cheese;Chips"
"Bread;;Butter;Jam;Nutella;;"
";;Butter;Jam;Nutella;;Chips"
";Milk;;;;Cheese;"
"Bread;Milk;Butter;Jam;Nutella;Cheese;Chips"
"Bread;Milk;;;Nutella;;"
"Bread;Milk;Butter;Jam;;Cheese;Chips"
"Bread;Milk;Butter;;Nutella;;"
"Bread;;Butter;;;Cheese;"
"Bread;;Butter;Jam;Nutella;;"
";Milk;Butter;Jam;;Cheese;"
"Bread;;;Jam;Nutella;Cheese;Chips"
"Bread;Milk;Butter;Jam;Nutella;;"
"Bread;;Butter;;Nutella;Cheese;"
"Bread;;Butter;Jam;Nutella;Cheese;Chips"
"Bread;Milk;Butter;Jam;Nutella;Cheese;Chips"
";Milk;Butter;Jam;Nutella;Cheese;"
";Milk;;Jam;Nutella;Cheese;"
"Bread;Milk;Butter;Jam;Nutella;Cheese;Chips"
"Bread;;Butter;Jam;Nutella;Cheese;Chips"
"Bread;Milk;Butter;Jam;Nutella;Cheese;"
";Milk;;;Nutella;Cheese;"
";Milk;;;;;Chips"
